,race,social_class,income,president,sex,urban
41,White,Middle class,89999.0,1.0,Male,Suburb
42,White,Middle class,9999.0,0.0,Male,City
43,White,Working class,49999.0,1.0,Female,Suburb
44,White,Middle class,249999.0,1.0,Male,City
45,White,Working class,49999.0,1.0,Male,Small town
46,White,Working class,74999.0,0.0,Male,Small town
47,White,Middle class,149999.0,1.0,Male,Suburb
48,White,Working class,74999.0,1.0,Female,Small town
49,White,Upper class,59999.0,1.0,Male,City
50,Multiple,Lower class,89999.0,1.0,Female,Suburb
51,White,Upper class,300000.0,1.0,Male,Suburb
52,White,Middle class,64999.0,1.0,Male,City
53,Multiple,Working class,79999.0,1.0,Male,Small town
54,White,Middle class,109999.0,1.0,Female,City
55,White,Upper class,99999.0,1.0,Female,City
56,Black,Working class,64999.0,1.0,Female,Small town
57,White,Middle class,9999.0,1.0,Female,Small town
58,White,Middle class,59999.0,1.0,Female,Rural area
59,White,Working class,34999.0,1.0,Female,Small town
60,White,Working class,74999.0,1.0,Female,City
61,White,Middle class,109999.0,0.0,Male,Small town
62,Black,Working class,9999.0,1.0,Female,City
63,White,Middle class,99999.0,1.0,Male,Suburb
64,White,Middle class,34999.0,0.0,Male,Suburb
65,White,Middle class,124999.0,0.0,Male,Small town
66,White,Middle class,59999.0,0.0,Female,City
67,White,Middle class,59999.0,1.0,Female,Small town
68,Black,Working class,19999.0,1.0,Female,City
69,White,Middle class,249999.0,1.0,Female,City
70,Hispanic,Middle class,34999.0,1.0,Female,City
71,White,Middle class,89999.0,1.0,Female,Small town
72,White,Middle class,79999.0,0.0,Female,Suburb
73,White,Middle class,174999.0,0.0,Female,City
74,White,Upper class,300000.0,0.0,Female,City
75,White,Middle class,174999.0,0.0,Female,Suburb
76,White,Working class,14999.0,0.0,Female,Small town
77,White,Working class,39999.0,1.0,Male,City
78,Native American,Middle class,74999.0,0.0,Male,Small town
79,White,Working class,300000.0,0.0,Female,Suburb
80,White,Middle class,124999.0,1.0,Male,Small town
81,Hispanic,Working class,69999.0,1.0,Female,Suburb
82,White,Middle class,34999.0,1.0,Female,Small town
83,White,Middle class,49999.0,1.0,Female,Small town
84,White,Middle class,109999.0,1.0,Female,Suburb
85,White,Working class,39999.0,0.0,Female,Small town
86,White,Middle class,109999.0,0.0,Male,Rural area
87,White,Working class,19999.0,1.0,Female,Small town
88,White,Working class,24999.0,0.0,Female,Rural area
89,White,Working class,59999.0,0.0,Female,Small town
90,White,Middle class,109999.0,1.0,Female,Rural area
91,Asian,Working class,300000.0,0.0,Male,Small town
92,White,Middle class,79999.0,0.0,Male,Small town
93,White,Working class,34999.0,0.0,Male,Rural area
94,White,Working class,44999.0,0.0,Male,City
95,Hispanic,Middle class,109999.0,0.0,Female,Small town
96,Black,Working class,99999.0,1.0,Female,City
97,Native American,Middle class,9999.0,0.0,Male,Suburb
98,Black,Working class,109999.0,1.0,Male,City
99,White,Middle class,109999.0,0.0,Male,Suburb
100,Hispanic,Lower class,29999.0,1.0,Male,City
101,White,Lower class,29999.0,0.0,Male,City
102,Black,Middle class,24999.0,0.0,Female,Rural area
103,White,Working class,44999.0,1.0,Female,Rural area
104,White,Middle class,149999.0,0.0,Male,Small town
105,White,Middle class,99999.0,1.0,Female,Suburb
106,Hispanic,Lower class,29999.0,1.0,Female,Rural area
107,Black,Middle class,249999.0,1.0,Male,Suburb
108,White,Middle class,149999.0,0.0,Male,City
109,White,Middle class,109999.0,0.0,Female,Suburb
110,White,Middle class,174999.0,0.0,Male,Rural area
111,White,Middle class,109999.0,1.0,Female,Rural area
112,White,Middle class,174999.0,1.0,Male,Suburb
113,White,Middle class,19999.0,0.0,Female,Suburb
114,White,Working class,14999.0,1.0,Male,Small town
115,White,Middle class,249999.0,1.0,Female,Small town
116,White,Working class,24999.0,0.0,Male,Small town
117,White,Middle class,89999.0,1.0,Male,City
118,White,Middle class,89999.0,0.0,Female,Suburb
119,Black,Working class,64999.0,1.0,Female,Suburb
120,Black,Working class,44999.0,1.0,Female,City
121,White,Upper class,174999.0,1.0,Female,Small town
122,Native American,Upper class,300000.0,1.0,Male,Small town
123,Hispanic,Middle class,174999.0,1.0,Male,Suburb
124,White,Working class,124999.0,1.0,Male,Suburb
125,White,Middle class,149999.0,0.0,Female,Small town
126,White,Working class,29999.0,0.0,Female,Rural area
127,White,Middle class,44999.0,0.0,Female,Rural area
128,White,Lower class,44999.0,0.0,Male,Rural area
129,White,Working class,124999.0,0.0,Male,Rural area
130,White,Middle class,79999.0,1.0,Female,City
131,White,Lower class,19999.0,0.0,Female,Small town
132,White,Middle class,74999.0,0.0,Male,City
133,White,Middle class,124999.0,0.0,Male,Small town
134,Multiple,Middle class,89999.0,1.0,Female,City
135,White,Middle class,39999.0,1.0,Male,City
136,White,Middle class,74999.0,0.0,Male,Rural area
137,White,Middle class,19999.0,1.0,Male,Suburb
138,White,Middle class,109999.0,0.0,Male,Rural area
139,White,Middle class,300000.0,1.0,Male,City
140,White,Middle class,174999.0,1.0,Male,City
141,Hispanic,Working class,9999.0,1.0,Female,City
142,White,Middle class,99999.0,1.0,Female,Suburb
143,White,Middle class,99999.0,1.0,Male,Suburb
144,White,Lower class,9999.0,1.0,Female,Suburb
145,Hispanic,Working class,14999.0,0.0,Male,Rural area
146,White,Working class,49999.0,0.0,Male,Suburb
147,White,Middle class,89999.0,0.0,Female,City
148,White,Middle class,34999.0,0.0,Female,Small town
149,Black,Working class,89999.0,1.0,Female,Suburb
150,Black,Working class,24999.0,1.0,Female,City
151,Hispanic,Working class,79999.0,1.0,Female,City
152,Hispanic,Working class,59999.0,1.0,Male,Suburb
153,White,Upper class,174999.0,1.0,Female,City
154,Black,Middle class,300000.0,1.0,Female,Suburb
155,White,Working class,9999.0,0.0,Female,City
156,White,Working class,89999.0,0.0,Female,City
157,Black,Middle class,109999.0,1.0,Female,Suburb
158,Hispanic,Working class,39999.0,1.0,Female,City
159,White,Working class,24999.0,0.0,Male,City
160,White,Middle class,49999.0,1.0,Male,Suburb
161,White,Middle class,249999.0,1.0,Male,City
162,White,Middle class,9999.0,0.0,Female,Suburb
163,White,Middle class,64999.0,1.0,Male,Suburb
164,White,Middle class,149999.0,0.0,Male,Small town
165,White,Middle class,49999.0,0.0,Female,Suburb
166,Hispanic,Middle class,59999.0,0.0,Male,City
167,Black,Working class,24999.0,1.0,Female,Small town
168,White,Middle class,174999.0,1.0,Male,City
169,White,Middle class,109999.0,1.0,Female,Suburb
170,Hispanic,Middle class,74999.0,0.0,Male,Suburb
171,White,Middle class,149999.0,0.0,Male,City
172,White,Middle class,109999.0,1.0,Male,City
173,White,Middle class,174999.0,1.0,Female,Small town
174,White,Middle class,300000.0,0.0,Male,Small town
175,White,Middle class,99999.0,0.0,Female,Suburb
176,Multiple,Lower class,59999.0,0.0,Female,City
177,White,Middle class,109999.0,0.0,Male,Suburb
178,White,Working class,9999.0,1.0,Male,City
179,White,Working class,89999.0,0.0,Male,Suburb
180,White,Middle class,14999.0,1.0,Male,Rural area
181,White,Working class,59999.0,0.0,Female,Rural area
182,White,Working class,89999.0,1.0,Male,Suburb
183,Multiple,Working class,39999.0,1.0,Female,City
184,White,Working class,59999.0,1.0,Female,City
185,Asian,Working class,59999.0,1.0,Male,Suburb
186,White,Middle class,74999.0,1.0,Male,Suburb
187,White,Middle class,99999.0,0.0,Male,Suburb
188,White,Middle class,124999.0,1.0,Female,Suburb
189,White,Working class,64999.0,1.0,Female,Small town
190,Black,Middle class,89999.0,1.0,Female,Suburb
191,Native American,Middle class,69999.0,0.0,Male,City
192,White,Working class,149999.0,0.0,Male,Suburb
193,White,Working class,124999.0,1.0,Female,Small town
194,White,Working class,39999.0,1.0,Female,City
195,Multiple,Lower class,89999.0,1.0,Female,Small town
196,White,Middle class,19999.0,1.0,Male,City
197,White,Middle class,79999.0,0.0,Female,Small town
198,White,Working class,9999.0,0.0,Female,Rural area
199,White,Middle class,64999.0,1.0,Female,City
200,White,Middle class,109999.0,1.0,Male,Rural area
201,Hispanic,Lower class,69999.0,1.0,Female,City
202,White,Upper class,69999.0,1.0,Female,City
203,White,Working class,29999.0,0.0,Female,Small town
204,White,Working class,14999.0,0.0,Male,City
205,White,Working class,9999.0,1.0,Male,Suburb
206,White,Working class,29999.0,0.0,Female,Suburb
207,White,Middle class,49999.0,1.0,Male,City
208,White,Middle class,124999.0,1.0,Female,Suburb
209,White,Middle class,89999.0,0.0,Male,Small town
210,White,Middle class,44999.0,1.0,Female,City
211,Black,Middle class,74999.0,1.0,Male,City
212,White,Middle class,109999.0,0.0,Female,Suburb
213,White,Working class,79999.0,0.0,Female,Small town
214,White,Middle class,64999.0,0.0,Female,City
215,White,Upper class,49999.0,1.0,Male,City
216,White,Working class,24999.0,1.0,Female,City
217,White,Middle class,34999.0,0.0,Female,Small town
218,White,Middle class,64999.0,0.0,Male,Suburb
219,White,Middle class,174999.0,0.0,Female,Suburb
220,White,Working class,29999.0,0.0,Male,City
221,Multiple,Lower class,89999.0,1.0,Female,Rural area
222,White,Middle class,74999.0,0.0,Female,City
223,White,Middle class,300000.0,0.0,Male,Suburb
224,White,Working class,64999.0,0.0,Male,Small town
225,White,Working class,74999.0,1.0,Male,Suburb
226,Black,Middle class,34999.0,1.0,Female,City
227,Black,Working class,59999.0,1.0,Female,City
228,White,Middle class,89999.0,0.0,Male,Small town
229,White,Middle class,124999.0,1.0,Female,Suburb
230,White,Middle class,9999.0,0.0,Female,Small town
231,White,Middle class,149999.0,0.0,Male,Suburb
232,White,Working class,14999.0,1.0,Male,City
233,Black,Middle class,174999.0,1.0,Male,Suburb
234,Hispanic,Working class,39999.0,1.0,Female,City
235,White,Middle class,9999.0,1.0,Female,Small town
236,White,Middle class,149999.0,0.0,Female,Suburb
237,White,Middle class,29999.0,0.0,Male,Rural area
238,White,Middle class,69999.0,0.0,Male,City
239,White,Middle class,174999.0,0.0,Male,Suburb
240,White,Upper class,300000.0,0.0,Female,Suburb
241,White,Middle class,34999.0,1.0,Female,Small town
242,White,Middle class,59999.0,1.0,Female,City
243,White,Middle class,174999.0,0.0,Female,Suburb
244,White,Working class,14999.0,1.0,Female,City
245,Hispanic,Middle class,89999.0,1.0,Male,Suburb
246,White,Middle class,74999.0,1.0,Male,Rural area
247,White,Lower class,59999.0,1.0,Male,City
248,Multiple,Working class,249999.0,0.0,Male,Suburb
249,White,Middle class,9999.0,0.0,Female,Suburb
250,White,Middle class,89999.0,0.0,Female,Suburb
251,White,Middle class,59999.0,1.0,Female,Rural area
252,White,Middle class,249999.0,0.0,Male,Small town
253,White,Middle class,9999.0,0.0,Female,City
254,White,Working class,39999.0,1.0,Female,City
255,White,Lower class,29999.0,1.0,Male,Small town
256,White,Working class,124999.0,0.0,Female,Rural area
257,White,Middle class,59999.0,1.0,Male,Small town
258,White,Middle class,79999.0,1.0,Female,City
259,White,Middle class,174999.0,0.0,Male,City
260,White,Working class,24999.0,0.0,Female,Small town
261,White,Middle class,109999.0,0.0,Female,Rural area
262,White,Middle class,79999.0,0.0,Male,Suburb
263,White,Upper class,300000.0,1.0,Female,Suburb
264,White,Middle class,149999.0,0.0,Male,Suburb
265,White,Middle class,124999.0,1.0,Male,City
266,White,Working class,59999.0,0.0,Female,Suburb
267,White,Working class,79999.0,1.0,Male,Small town
268,White,Middle class,124999.0,1.0,Female,Small town
269,White,Middle class,300000.0,1.0,Male,Suburb
270,White,Middle class,174999.0,1.0,Female,City
271,Black,Middle class,79999.0,1.0,Female,City
272,White,Working class,64999.0,1.0,Female,Small town
273,White,Middle class,64999.0,0.0,Female,City
274,Black,Working class,9999.0,1.0,Female,City
275,White,Working class,64999.0,0.0,Female,Rural area
276,White,Middle class,124999.0,0.0,Male,Small town
277,Black,Middle class,89999.0,1.0,Female,Suburb
278,White,Middle class,249999.0,1.0,Female,Suburb
279,White,Working class,39999.0,0.0,Male,Small town
280,White,Middle class,124999.0,1.0,Male,Suburb
281,White,Working class,34999.0,1.0,Female,Suburb
282,White,Working class,59999.0,1.0,Female,Small town
283,White,Middle class,9999.0,0.0,Male,Suburb
284,Native American,Lower class,300000.0,0.0,Female,Small town
285,White,Upper class,300000.0,1.0,Male,Suburb
286,Hispanic,Working class,34999.0,1.0,Male,Small town
287,White,Middle class,14999.0,0.0,Female,City
288,White,Middle class,99999.0,1.0,Female,Rural area
289,White,Working class,29999.0,0.0,Male,Small town
290,White,Middle class,174999.0,0.0,Male,Suburb
291,White,Working class,39999.0,1.0,Female,City
292,White,Working class,74999.0,0.0,Male,Rural area
293,White,Working class,14999.0,1.0,Female,Suburb
294,White,Middle class,174999.0,1.0,Female,Small town
295,White,Working class,59999.0,0.0,Female,City
296,White,Middle class,124999.0,1.0,Male,Suburb
297,White,Middle class,249999.0,0.0,Male,Suburb
298,White,Middle class,64999.0,1.0,Male,Small town
299,White,Upper class,300000.0,1.0,Male,City
300,White,Working class,249999.0,0.0,Female,Suburb
301,White,Middle class,300000.0,1.0,Male,Suburb
302,Hispanic,Working class,89999.0,0.0,Male,Suburb
303,White,Working class,89999.0,0.0,Male,Small town
304,Asian,Working class,29999.0,1.0,Male,Suburb
305,Multiple,Working class,34999.0,1.0,Female,City
306,White,Middle class,249999.0,1.0,Male,Rural area
307,White,Upper class,249999.0,1.0,Male,Suburb
308,White,Working class,44999.0,1.0,Male,Suburb
309,Hispanic,Middle class,249999.0,1.0,Male,City
310,White,Working class,34999.0,0.0,Female,Rural area
311,White,Lower class,24999.0,1.0,Female,Rural area
312,White,Middle class,9999.0,1.0,Female,Rural area
313,White,Middle class,24999.0,1.0,Male,Small town
314,White,Middle class,59999.0,1.0,Male,Suburb
315,Black,Working class,89999.0,1.0,Female,Suburb
316,Asian,Middle class,149999.0,1.0,Female,City
317,Native American,Working class,149999.0,1.0,Male,Suburb
318,White,Lower class,14999.0,0.0,Female,Small town
319,White,Working class,29999.0,0.0,Male,Small town
320,White,Middle class,249999.0,1.0,Female,City
321,White,Upper class,300000.0,1.0,Male,Suburb
322,White,Middle class,149999.0,1.0,Female,City
323,White,Middle class,99999.0,1.0,Male,City
324,White,Middle class,89999.0,0.0,Male,Small town
325,White,Lower class,24999.0,0.0,Male,Suburb
326,Hispanic,Middle class,59999.0,1.0,Male,City
327,Native American,Working class,9999.0,1.0,Female,City
328,White,Middle class,99999.0,1.0,Female,Suburb
329,White,Working class,59999.0,0.0,Female,Small town
330,Hispanic,Working class,39999.0,1.0,Male,Small town
331,Asian,Middle class,249999.0,0.0,Male,Suburb
332,White,Middle class,89999.0,0.0,Male,Small town
333,White,Middle class,24999.0,0.0,Male,Suburb
334,White,Middle class,24999.0,0.0,Female,Small town
335,White,Middle class,174999.0,0.0,Male,Rural area
336,White,Middle class,149999.0,1.0,Female,Rural area
337,White,Lower class,99999.0,1.0,Male,Suburb
338,Black,Working class,14999.0,1.0,Female,City
339,Black,Working class,44999.0,1.0,Female,City
340,Native American,Middle class,109999.0,0.0,Female,Suburb
341,White,Working class,59999.0,0.0,Female,Suburb
342,White,Middle class,124999.0,0.0,Female,Small town
343,Asian,Middle class,79999.0,1.0,Female,Small town
344,White,Middle class,24999.0,1.0,Male,City
345,White,Middle class,149999.0,1.0,Female,City
346,White,Working class,24999.0,1.0,Female,Small town
347,Hispanic,Working class,89999.0,1.0,Female,Suburb
348,White,Working class,39999.0,0.0,Male,City
349,White,Middle class,44999.0,0.0,Female,City
350,White,Middle class,24999.0,0.0,Female,Small town
351,White,Working class,39999.0,1.0,Male,City
352,White,Working class,24999.0,0.0,Male,Rural area
353,White,Working class,49999.0,0.0,Male,Small town
354,Hispanic,Middle class,64999.0,0.0,Female,City
355,White,Lower class,29999.0,0.0,Male,Rural area
356,White,Middle class,99999.0,1.0,Female,Small town
357,White,Middle class,39999.0,0.0,Female,Rural area
358,White,Lower class,59999.0,0.0,Female,Small town
359,White,Working class,24999.0,1.0,Female,Rural area
360,White,Middle class,79999.0,0.0,Female,Small town
361,White,Middle class,59999.0,1.0,Female,City
362,White,Middle class,124999.0,1.0,Female,City
363,White,Working class,14999.0,0.0,Male,Rural area
364,White,Lower class,14999.0,1.0,Male,City
365,White,Working class,9999.0,1.0,Female,Rural area
366,Multiple,Working class,19999.0,0.0,Male,Small town
367,White,Middle class,300000.0,0.0,Female,City
368,White,Middle class,99999.0,0.0,Female,Small town
369,White,Working class,89999.0,0.0,Male,Rural area
370,White,Upper class,149999.0,0.0,Female,Small town
371,Native American,Working class,39999.0,0.0,Male,Suburb
372,White,Lower class,24999.0,0.0,Female,Rural area
373,White,Working class,24999.0,1.0,Male,City
374,Black,Upper class,9999.0,1.0,Female,City
375,White,Middle class,249999.0,0.0,Male,Small town
376,Black,Working class,249999.0,0.0,Male,Suburb
377,White,Middle class,74999.0,1.0,Male,Small town
378,Multiple,Upper class,149999.0,1.0,Male,Rural area
379,Asian,Middle class,300000.0,1.0,Male,Suburb
380,White,Middle class,109999.0,1.0,Female,Suburb
381,White,Middle class,79999.0,1.0,Female,Small town
382,White,Middle class,249999.0,0.0,Male,Suburb
383,White,Middle class,300000.0,1.0,Male,Suburb
384,White,Working class,34999.0,1.0,Male,City
385,White,Middle class,124999.0,1.0,Male,Suburb
386,Multiple,Middle class,109999.0,0.0,Female,Small town
387,White,Middle class,149999.0,0.0,Female,City
388,White,Middle class,29999.0,1.0,Male,Small town
389,White,Middle class,174999.0,1.0,Female,Small town
390,White,Working class,109999.0,0.0,Male,City
391,White,Working class,24999.0,1.0,Male,Rural area
392,White,Middle class,9999.0,1.0,Male,Rural area
393,White,Middle class,49999.0,0.0,Female,Small town
394,Multiple,Middle class,124999.0,1.0,Female,Suburb
395,Hispanic,Middle class,174999.0,0.0,Male,City
396,White,Middle class,99999.0,0.0,Male,Rural area
397,White,Working class,59999.0,0.0,Male,Small town
398,Hispanic,Middle class,9999.0,1.0,Female,Rural area
399,White,Middle class,64999.0,0.0,Male,Suburb
400,Hispanic,Middle class,24999.0,0.0,Male,City
401,White,Middle class,59999.0,0.0,Male,Suburb
402,White,Working class,19999.0,1.0,Female,Suburb
403,Black,Middle class,109999.0,0.0,Female,City
404,White,Working class,19999.0,1.0,Male,Suburb
405,Asian,Middle class,300000.0,1.0,Female,City
406,White,Middle class,69999.0,0.0,Male,Small town
407,White,Working class,44999.0,0.0,Male,City
408,White,Working class,79999.0,0.0,Female,Rural area
409,White,Upper class,300000.0,1.0,Female,Small town
410,White,Middle class,249999.0,1.0,Female,Small town
411,White,Middle class,44999.0,1.0,Male,City
412,White,Upper class,300000.0,1.0,Male,Suburb
413,White,Middle class,99999.0,0.0,Female,Suburb
414,White,Working class,74999.0,1.0,Female,City
415,White,Middle class,69999.0,0.0,Male,Suburb
416,White,Middle class,249999.0,1.0,Male,Suburb
417,White,Middle class,69999.0,0.0,Female,Small town
418,Asian,Middle class,249999.0,0.0,Male,Suburb
419,White,Middle class,14999.0,1.0,Female,Rural area
420,White,Middle class,9999.0,0.0,Female,Small town
421,White,Working class,124999.0,0.0,Male,Suburb
422,White,Middle class,39999.0,0.0,Male,City
423,Black,Working class,9999.0,1.0,Female,Small town
424,White,Middle class,9999.0,1.0,Female,Rural area
425,Hispanic,Working class,34999.0,0.0,Male,Suburb
426,White,Working class,59999.0,1.0,Female,Small town
427,White,Middle class,249999.0,0.0,Male,Suburb
428,White,Middle class,109999.0,0.0,Male,Small town
429,Black,Working class,9999.0,1.0,Female,Suburb
430,White,Middle class,149999.0,1.0,Female,Suburb
431,White,Upper class,9999.0,0.0,Female,City
432,White,Working class,59999.0,0.0,Male,Suburb
433,White,Middle class,24999.0,0.0,Female,Rural area
434,Native American,Middle class,89999.0,0.0,Male,Rural area
435,Hispanic,Middle class,174999.0,1.0,Male,Suburb
436,White,Working class,39999.0,0.0,Female,Rural area
437,White,Middle class,109999.0,1.0,Female,Small town
438,White,Lower class,9999.0,0.0,Male,Small town
439,White,Middle class,89999.0,1.0,Male,Small town
440,Black,Middle class,29999.0,1.0,Female,City
441,White,Middle class,249999.0,1.0,Female,City
442,White,Middle class,74999.0,1.0,Male,Suburb
443,Multiple,Middle class,174999.0,0.0,Male,Small town
444,White,Middle class,79999.0,0.0,Female,Suburb
445,White,Middle class,109999.0,0.0,Male,Small town
446,White,Middle class,79999.0,0.0,Male,Rural area
447,Multiple,Middle class,174999.0,1.0,Female,Small town
448,Hispanic,Working class,124999.0,1.0,Male,City
449,White,Middle class,300000.0,0.0,Female,Small town
450,White,Upper class,109999.0,1.0,Male,City
451,White,Middle class,49999.0,0.0,Male,Suburb
452,White,Lower class,9999.0,0.0,Female,City
453,Hispanic,Middle class,109999.0,1.0,Female,City
454,White,Working class,59999.0,1.0,Male,City
455,White,Middle class,99999.0,0.0,Female,Rural area
456,White,Middle class,149999.0,1.0,Male,Small town
457,Asian,Middle class,74999.0,0.0,Female,Small town
458,White,Middle class,300000.0,1.0,Female,Rural area
459,White,Middle class,249999.0,1.0,Female,Small town
460,Black,Middle class,59999.0,1.0,Male,City
461,White,Middle class,59999.0,1.0,Female,Rural area
462,White,Middle class,124999.0,1.0,Male,City
463,White,Middle class,149999.0,1.0,Male,Suburb
464,Black,Working class,44999.0,1.0,Male,Small town
465,White,Working class,9999.0,0.0,Female,Rural area
466,White,Working class,109999.0,1.0,Male,Small town
467,White,Working class,124999.0,1.0,Female,Small town
468,Hispanic,Middle class,124999.0,1.0,Male,Suburb
469,Asian,Middle class,249999.0,0.0,Male,City
470,White,Working class,59999.0,1.0,Male,Small town
471,White,Middle class,49999.0,1.0,Female,Small town
472,White,Middle class,69999.0,1.0,Male,Small town
473,White,Middle class,99999.0,0.0,Male,Small town
474,White,Middle class,174999.0,1.0,Male,Suburb
475,White,Middle class,29999.0,0.0,Female,Suburb
476,White,Middle class,249999.0,1.0,Male,Suburb
477,White,Middle class,69999.0,1.0,Female,Suburb
478,Black,Working class,109999.0,1.0,Female,Suburb
479,White,Working class,14999.0,1.0,Female,Small town
480,White,Middle class,89999.0,1.0,Female,Suburb
481,White,Working class,34999.0,0.0,Female,City
482,Hispanic,Working class,14999.0,1.0,Male,Small town
483,White,Working class,89999.0,0.0,Female,Suburb
484,White,Working class,64999.0,0.0,Male,Suburb
485,Hispanic,Working class,99999.0,1.0,Female,City
486,White,Working class,89999.0,1.0,Female,Small town
487,White,Working class,79999.0,0.0,Male,Small town
488,White,Middle class,124999.0,1.0,Male,Small town
489,White,Working class,249999.0,1.0,Female,Suburb
490,White,Lower class,34999.0,0.0,Male,City
491,Hispanic,Middle class,89999.0,1.0,Female,Rural area
492,White,Working class,44999.0,0.0,Male,Small town
493,White,Upper class,300000.0,1.0,Female,City
494,White,Middle class,89999.0,1.0,Female,Suburb
495,White,Middle class,59999.0,0.0,Female,Small town
496,Hispanic,Middle class,109999.0,0.0,Female,Small town
497,White,Working class,59999.0,0.0,Female,Small town
498,White,Middle class,59999.0,1.0,Male,City
499,Native American,Working class,44999.0,1.0,Female,Small town
500,Black,Working class,59999.0,1.0,Female,City
501,White,Middle class,89999.0,0.0,Male,Suburb
502,White,Middle class,79999.0,0.0,Female,Rural area
503,White,Middle class,99999.0,1.0,Female,Suburb
504,Black,Working class,9999.0,1.0,Female,Small town
505,Native American,Lower class,14999.0,1.0,Female,City
506,White,Middle class,109999.0,1.0,Female,Suburb
507,Multiple,Lower class,29999.0,1.0,Female,City
508,Black,Middle class,14999.0,1.0,Female,City
509,White,Working class,124999.0,0.0,Female,Rural area
510,Multiple,Middle class,300000.0,1.0,Female,City
511,White,Middle class,89999.0,0.0,Male,Suburb
512,Multiple,Working class,44999.0,1.0,Female,Suburb
513,White,Lower class,14999.0,0.0,Female,Suburb
514,White,Middle class,89999.0,0.0,Male,Small town
515,White,Upper class,300000.0,1.0,Female,Suburb
516,White,Middle class,174999.0,0.0,Male,City
517,White,Working class,89999.0,1.0,Male,Suburb
518,Black,Working class,39999.0,1.0,Male,Small town
519,Hispanic,Middle class,249999.0,1.0,Male,City
520,Hispanic,Middle class,99999.0,1.0,Male,Rural area
521,White,Middle class,124999.0,1.0,Male,Suburb
522,White,Middle class,44999.0,1.0,Male,City
523,White,Middle class,149999.0,0.0,Female,City
524,White,Lower class,69999.0,1.0,Male,Rural area
525,White,Lower class,19999.0,0.0,Female,Rural area
526,White,Middle class,249999.0,1.0,Female,Suburb
527,Hispanic,Working class,24999.0,1.0,Male,Rural area
528,White,Middle class,249999.0,1.0,Female,Small town
529,Black,Middle class,149999.0,1.0,Female,Rural area
530,Asian,Working class,89999.0,0.0,Male,Suburb
531,Multiple,Middle class,249999.0,0.0,Male,Rural area
532,White,Working class,39999.0,1.0,Male,Small town
533,Asian,Middle class,89999.0,1.0,Male,Rural area
534,Hispanic,Working class,59999.0,0.0,Male,Small town
535,White,Middle class,109999.0,1.0,Female,City
536,Native American,Lower class,14999.0,1.0,Male,Small town
537,White,Lower class,59999.0,1.0,Female,Suburb
538,White,Middle class,39999.0,0.0,Male,Suburb
539,White,Middle class,300000.0,0.0,Male,Small town
540,White,Middle class,99999.0,0.0,Female,Suburb
541,White,Middle class,49999.0,1.0,Male,Rural area
542,White,Middle class,249999.0,0.0,Male,Suburb
543,Black,Middle class,24999.0,1.0,Male,Small town
544,White,Upper class,74999.0,1.0,Female,Suburb
545,Black,Working class,109999.0,1.0,Male,City
546,White,Middle class,109999.0,0.0,Female,Rural area
547,White,Middle class,69999.0,1.0,Female,Rural area
548,Hispanic,Working class,174999.0,0.0,Male,City
549,Hispanic,Working class,79999.0,1.0,Female,City
550,White,Middle class,109999.0,0.0,Male,Rural area
551,White,Lower class,24999.0,0.0,Female,Suburb
552,White,Middle class,174999.0,0.0,Male,Small town
553,Hispanic,Middle class,9999.0,1.0,Male,City
